id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
430165,DZ-0034,small_airport,"Krechba Airport",29.071282,2.2059,,AF,Algeria,DZ,"El Menia Province",DZ-50,50,"Hassi Gara",0,,,,,,,50,2022-09-27T14:43:24+00:00
430147,DZ-0020,small_airport,"Gassi Touil Airport",30.51446,6.45266,,AF,Algeria,DZ,"Ouargla Province",DZ-30,30,"Hassi Messaoud",0,,,,,,,50,2022-09-26T03:09:53+00:00
430153,DZ-0026,small_airport,"Hassi Messaoud East Airport",31.50603,6.64072,,AF,Algeria,DZ,"Ouargla Province",DZ-30,30,"Hassi Messaoud",0,,,,,,,50,2022-09-26T03:22:41+00:00
430148,DZ-0021,small_airport,"Trczina Airport",31.12059,6.34713,,AF,Algeria,DZ,"Ouargla Province",DZ-30,30,"Hassi Messaoud",0,,,,,,,50,2022-09-26T03:12:32+00:00
2145,DA10,small_airport,"Illizi Airport",26.573601,8.48366,1778,AF,Algeria,DZ,"Illizi Province",DZ-33,33,Illizi,0,DA10,,DA10,,,,50,2021-02-23T14:46:26+00:00
31678,DATG,small_airport,"In Guezzam Airport",19.560518,5.749326,1312,AF,Algeria,DZ,"In Guezzam Province",DZ-58,58,"In Guezzam",0,DATG,INF,,,https://en.wikipedia.org/wiki/In_Guezzam_Airport,,50,2024-04-07T13:39:05+00:00
430168,DZ-0037,small_airport,"REG In Salah North Airport",28.08605,2.14052,,AF,Algeria,DZ,"In Salah Province",DZ-57,57,"In Salah",0,,,,,,,50,2022-09-27T14:29:11+00:00
430167,DZ-0036,small_airport,"REG In Salah Airport",28.07732,2.12826,,AF,Algeria,DZ,"In Salah Province",DZ-57,57,"In Salah",0,,,,,,,50,2022-09-27T14:29:54+00:00
430166,DZ-0035,small_airport,"Tegentour Airport",28.46911,2.51871,,AF,Algeria,DZ,"In Salah Province",DZ-57,57,"In Salah",0,,,,,,,50,2022-09-27T14:28:52+00:00
2150,DA15,small_airport,"Saïda Airport",34.897202,0.151694,2444,AF,Algeria,DZ,"Saïda Province",DZ-20,20,"Ouled Khaled",0,DA15,,DA15,,,Rebahia,50,2022-01-24T00:15:37+00:00
2148,DA13,small_airport,"Tinfouchy Airport",28.879299,-5.8229,1804,AF,Algeria,DZ,"Tindouf Province",DZ-37,37,"Oum El Assel",0,DA13,,DA13,,,,50,2021-02-23T15:55:05+00:00
42529,DABO,small_airport,"Oum El Bouaghi Air Base",35.8797,7.2708,2980,AF,Algeria,DZ,"Oum el Bouaghi Province",DZ-04,04,"Oum El Bouaghi",0,DAEO,QMH,,,https://en.wikipedia.org/wiki/Oum_el_Bouaghi_Airport,DABO,50,2021-02-23T16:19:58+00:00
430236,DZ-0040,small_airport,"Ras el Miaad Airport",34.23833,4.46004,,AF,Algeria,DZ,"Ouled Djellal Province",DZ-51,51,"Ras el Miaad",0,,,,,,,50,2022-09-27T19:02:53+00:00
349345,DZ-0012,small_airport,"Groupement Reggane Nord Airport",26.80634,0.20704,883,AF,Algeria,DZ,"Adrar Province",DZ-01,01,Reggane,0,,,,,,,50,2022-09-26T03:58:15+00:00
349346,DZ-0013,small_airport,"Reggane Nord Airport",26.91535,0.07195,896,AF,Algeria,DZ,"Adrar Province",DZ-01,01,Sali,0,,,,,,,50,2021-10-29T22:33:26+00:00
